trial_number,value,state,max_depth,min_child_weight,gamma,learning_rate,n_estimators,subsample,colsample_bytree,colsample_bylevel,reg_alpha,reg_lambda
24,12.823972530218608,COMPLETE,9,3,3.388667203463207,0.04618285454783942,88,0.7940278421656417,0.9592938198600579,0.8042735454537396,8.851389467402617,7.942310615248768
25,12.99521712622306,COMPLETE,10,3,3.653085503216601,0.043715521457166145,64,0.7792280335015352,0.9765877807922834,0.7218519549433411,9.910156821797262,7.737705989360078
26,13.167570904299895,COMPLETE,9,4,1.8707775978763537,0.027954156238330627,89,0.668694244502297,0.9158840279963768,0.7785000448117058,7.119981823748376,5.678715751073111
27,12.921762695090642,COMPLETE,9,3,2.3851972698055897,0.061210312550488415,73,0.6665427369737544,0.9614446966831018,0.8867145515959478,7.8536318540763554,0.7501652353151409
28,14.011751728251491,COMPLETE,10,2,2.841326114614466,0.01669204042638267,109,0.795334215190627,0.9563771956089541,0.6417649355969024,4.563429885969233,3.7354435222508364
29,13.051845807287355,COMPLETE,6,4,3.4591525924104425,0.029865335642266736,102,0.861775145764512,0.8854362775434208,0.7925205600113967,6.426909073865561,7.322430132031407
30,12.94649022147899,COMPLETE,4,5,0.727561156752969,0.04236250334742785,165,0.6920020028962057,0.9998510702404075,0.7304655964074265,9.197710748525239,2.1060595268055113
31,12.828104172596108,COMPLETE,7,6,3.3687542363138974,0.08637298186554619,142,0.9611261729546564,0.7837983404382726,0.8676009031023981,8.454878102926667,8.60312690445863
32,12.863049980224144,COMPLETE,8,7,4.627044736090628,0.0798887171668796,180,0.9722434702226948,0.6958022451045884,0.8769644680949436,8.31452734291906,8.73378048306659
33,12.794172861067413,COMPLETE,7,3,3.4338982693251334,0.06959587869382339,80,0.9196104744569127,0.9199252140590888,0.9629246180752882,7.4155936862994505,8.227129666472491
34,12.866496264086543,COMPLETE,6,3,4.0376826314870895,0.05401619575785619,84,0.9114965459839683,0.9091782546152267,0.9751840447483474,7.348969460847158,8.078034335040458
35,13.829642524855771,COMPLETE,8,2,2.324846575587126,0.027235736184119185,70,0.8859631356245772,0.9683125753464864,0.9166351674343777,5.70249606817042,6.738496571577693
36,12.89093409971898,COMPLETE,7,3,4.44625163887054,0.06508564959315444,55,0.9244820568877083,0.8504760556846153,0.9653731649362984,9.332639496822162,9.242212717928489
37,13.456511554403416,COMPLETE,5,4,4.987230060112433,0.03723477940730782,98,0.5887663591658137,0.5007250058963768,0.6763042168183243,7.48553138278927,6.016900484862868
38,12.807358868832594,COMPLETE,9,1,1.6059034300397763,0.046101140588900684,84,0.8675433049321399,0.9304770482123941,0.9380002188092015,6.423979139365418,7.82848036193083
39,12.823369941286101,COMPLETE,7,1,1.3106409850282508,0.030506338222377596,121,0.8625060217817084,0.9262364990927143,0.9496108650320222,6.216051192825597,1.6506518539593582
40,13.624211940035961,COMPLETE,8,10,1.6259955801213566,0.2942418954462008,162,0.8907162767825695,0.8759278389391534,0.92447681570509,5.183262314886887,0.737779806388044
41,12.807314215597449,COMPLETE,7,1,1.327265169468877,0.03255286552426572,120,0.8551746350766523,0.9209675502502175,0.9499485758112862,6.337584241548915,1.6270543152517905
42,12.986782933769389,COMPLETE,6,1,0.549794285293258,0.03676789962552316,80,0.9727691451657581,0.9781480558761586,0.988671844212738,4.579649454437643,0.5075842371200909
43,13.122779992452337,COMPLETE,7,2,1.6964944990198974,0.02430512158969185,103,0.9126221947505868,0.9159358665009837,0.9418554024079648,3.4080397969477163,0.0727829444119181
44,12.83127594860274,COMPLETE,6,2,1.1550748422274713,0.057736679528121025,125,0.8237579061333389,0.8301728094207198,0.9014809832274018,5.750738206762579,1.047757043405114
45,13.02553790311533,COMPLETE,7,1,1.8510677074356336,0.018020135876687913,190,0.9493450579678347,0.61544324995944,0.6101781764121108,6.674763146358944,3.1095670964538527
46,12.958082444634998,COMPLETE,8,2,2.6459692926876324,0.041671088825951004,216,0.8420500672299005,0.8946477529678976,0.956511001906193,6.116439370997549,1.5771107591824143
47,12.847759805479976,COMPLETE,5,5,1.5181575831669833,0.033953926653829236,165,0.8728648258460985,0.9366124158473071,0.9307671131242681,5.172669854205861,4.982325673097958
48,12.89793338372248,COMPLETE,9,9,2.2125520313972538,0.07250596600983393,134,0.9768414281619172,0.9856292841625455,0.5645041052937398,7.72818638204403,0.48076834931862117
49,12.81583170459649,COMPLETE,6,1,0.35689174935088375,0.05080455904910159,108,0.912152918659126,0.86191012251536,0.8603543310013914,3.8277812822021247,2.575357821673122
50,14.148713770512114,COMPLETE,7,4,1.221349863188442,0.015359797005020534,117,0.930764408669914,0.9444313616315543,0.7020538829093705,6.968874631916842,4.30197673863743
51,12.808827030993864,COMPLETE,6,1,0.8448341072178085,0.05014811053760736,112,0.9090739231241052,0.899680862230908,0.8568788594240362,3.204950679892579,2.4182885103844565
52,12.850727939213668,COMPLETE,6,1,1.0586545816710835,0.04161468988420833,94,0.8512999083834737,0.8993540516353828,0.9102892141994996,2.463006722927187,2.064232185408544
53,15.182706271344612,COMPLETE,5,2,0.8477678479913583,0.020598586063479373,73,0.9028129560950199,0.9259294304342304,0.7409502086598294,2.162563726480302,1.149173175577395
54,12.889349513956946,COMPLETE,8,1,1.9730008288226017,0.031726770243010335,300,0.9796007375044951,0.977268876204754,0.9814045474477491,1.2714506189401198,2.5176627600967865
